Arquivo,Receita,Valor
receitas_abril_2016.csv,Descrição da Receita,Realizado
receitas_abril_2016.csv,CONVÊNIO PMC, 0.00
receitas_abril_2016.csv,ESTACIONAMENTO ROTATIVO, 9170.00
receitas_abril_2016.csv,MULTAS DE TRÂNSITO, 112214.48
receitas_abril_2016.csv,MULTAS DE TRANSPORTES, 1888.76
receitas_abril_2016.csv,OUTRAS RECEITAS, 10249.00
receitas_abril_2016.csv,PÁTIO DE VEÍCULOS, 24280.23
receitas_abril_2016.csv,RECEITAS FINANCEIRAS, 3.58
receitas_abril_2016.csv,TAXA DE GERENCIAMENTO INTERCAMP, 57394.56
receitas_abril_2016.csv,TAXA DE TAXI, 4084.93
receitas_abril_2016.csv,VISTORIA DE VEÍCULOS, 437.60
receitas_abril_2016.csv,Dia: 02/04/2016,
receitas_abril_2016.csv,Descrição da Receita,Realizado
receitas_abril_2016.csv,CONVÊNIO PMC, 0.00
receitas_abril_2016.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2016.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2016.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2016.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2016.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2016.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2016.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2016.csv,TAXA DE TAXI, 0.00
receitas_abril_2016.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2016.csv,Dia: 03/04/2016,
receitas_abril_2016.csv,Descrição da Receita,Realizado
receitas_abril_2016.csv,CONVÊNIO PMC, 0.00
receitas_abril_2016.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2016.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2016.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2016.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2016.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2016.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2016.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
