Arquivo,Receita,Valor
receitas_abril_2014.csv,Descrição da Receita,Realizado
receitas_abril_2014.csv,CONVÊNIO PMC, 0.00
receitas_abril_2014.csv,ESTACIONAMENTO ROTATIVO, 13770.00
receitas_abril_2014.csv,MULTAS DE TRÂNSITO, 334892.93
receitas_abril_2014.csv,MULTAS DE TRANSPORTES, 7335.35
receitas_abril_2014.csv,OUTRAS RECEITAS, 7558.17
receitas_abril_2014.csv,PÁTIO DE VEÍCULOS, 21199.07
receitas_abril_2014.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2014.csv,TAXA DE GERENCIAMENTO INTERCAMP, 26650.77
receitas_abril_2014.csv,TAXA DE TAXI, 1379.52
receitas_abril_2014.csv,VISTORIA DE VEÍCULOS, 456.23
receitas_abril_2014.csv,Dia: 02/04/2014,
receitas_abril_2014.csv,Descrição da Receita,Realizado
receitas_abril_2014.csv,CONVÊNIO PMC, 0.00
receitas_abril_2014.csv,ESTACIONAMENTO ROTATIVO, 9780.00
receitas_abril_2014.csv,MULTAS DE TRÂNSITO, 190288.77
receitas_abril_2014.csv,MULTAS DE TRANSPORTES, 8605.82
receitas_abril_2014.csv,OUTRAS RECEITAS, 63.16
receitas_abril_2014.csv,PÁTIO DE VEÍCULOS, 25668.89
receitas_abril_2014.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2014.csv,TAXA DE GERENCIAMENTO INTERCAMP, 26391.95
receitas_abril_2014.csv,TAXA DE TAXI, 1187.71
receitas_abril_2014.csv,VISTORIA DE VEÍCULOS, 1692.04
receitas_abril_2014.csv,Dia: 03/04/2014,
receitas_abril_2014.csv,Descrição da Receita,Realizado
receitas_abril_2014.csv,CONVÊNIO PMC, 0.00
receitas_abril_2014.csv,ESTACIONAMENTO ROTATIVO, 1620.00
receitas_abril_2014.csv,MULTAS DE TRÂNSITO, 154283.60
receitas_abril_2014.csv,MULTAS DE TRANSPORTES, 6711.18
receitas_abril_2014.csv,OUTRAS RECEITAS, 70.85
receitas_abril_2014.csv,PÁTIO DE VEÍCULOS, 26181.23
receitas_abril_2014.csv,RECEITAS FINANCEIRAS, 21.40
receitas_abril_2014.csv,TAXA DE GERENCIAMENTO INTERCAMP, 26245.52
receitas_abril_2014.csv,TAXA DE TAXI, 943.33
receitas_abril_2014.csv,VISTORIA DE VEÍCULOS, 829.63
receitas_abril_2014.csv,Dia: 04/04/2014,
receitas_abril_2014.csv,Descrição da Receita,Realizado
receitas_abril_2014.csv,CONVÊNIO PMC, 0.00
receitas_abril_2014.csv,ESTACIONAMENTO ROTATIVO, 3405.00
receitas_abril_2014.csv,MULTAS DE TRÂNSITO, 168634.34
