Arquivo,Receita,Valor
receitas_abril_2012.csv,Descrição da Receita,Realizado
receitas_abril_2012.csv,CONVÊNIO PMC, 0.00
receitas_abril_2012.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2012.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2012.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2012.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2012.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2012.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2012.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2012.csv,TAXA DE TAXI, 0.00
receitas_abril_2012.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2012.csv,Dia: 02/04/2012,
receitas_abril_2012.csv,Descrição da Receita,Realizado
receitas_abril_2012.csv,CONVÊNIO PMC, 0.00
receitas_abril_2012.csv,ESTACIONAMENTO ROTATIVO, 3159.00
receitas_abril_2012.csv,MULTAS DE TRÂNSITO, 93594.61
receitas_abril_2012.csv,MULTAS DE TRANSPORTES, 4060.07
receitas_abril_2012.csv,OUTRAS RECEITAS, 7147.90
receitas_abril_2012.csv,PÁTIO DE VEÍCULOS, 13203.68
receitas_abril_2012.csv,RECEITAS FINANCEIRAS, 12.64
receitas_abril_2012.csv,TAXA DE GERENCIAMENTO INTERCAMP, 26092.92
receitas_abril_2012.csv,TAXA DE TAXI, 2391.24
receitas_abril_2012.csv,VISTORIA DE VEÍCULOS, 233.70
receitas_abril_2012.csv,Dia: 03/04/2012,
receitas_abril_2012.csv,Descrição da Receita,Realizado
receitas_abril_2012.csv,CONVÊNIO PMC, 0.00
receitas_abril_2012.csv,ESTACIONAMENTO ROTATIVO, 7654.50
receitas_abril_2012.csv,MULTAS DE TRÂNSITO, 157828.13
receitas_abril_2012.csv,MULTAS DE TRANSPORTES, 4866.44
receitas_abril_2012.csv,OUTRAS RECEITAS, 58.63
receitas_abril_2012.csv,PÁTIO DE VEÍCULOS, 11252.47
receitas_abril_2012.csv,RECEITAS FINANCEIRAS, 83.51
receitas_abril_2012.csv,TAXA DE GERENCIAMENTO INTERCAMP, 25748.63
receitas_abril_2012.csv,TAXA DE TAXI, 676.48
receitas_abril_2012.csv,VISTORIA DE VEÍCULOS, 855.41
receitas_abril_2012.csv,Dia: 04/04/2012,
receitas_abril_2012.csv,Descrição da Receita,Realizado
receitas_abril_2012.csv,CONVÊNIO PMC, 0.00
receitas_abril_2012.csv,ESTACIONAMENTO ROTATIVO, 2187.00
receitas_abril_2012.csv,MULTAS DE TRÂNSITO, 115118.22
receitas_abril_2012.csv,MULTAS DE TRANSPORTES, 5615.70
receitas_abril_2012.csv,OUTRAS RECEITAS, 1062.22
receitas_abril_2012.csv,PÁTIO DE VEÍCULOS, 13428.63
receitas_abril_2012.csv,RECEITAS FINANCEIRAS, 18.34
receitas_abril_2012.csv,TAXA DE GERENCIAMENTO INTERCAMP, 25795.83
receitas_abril_2012.csv,TAXA DE TAXI, 1848.66
receitas_abril_2012.csv,VISTORIA DE VEÍCULOS, 199.20
receitas_abril_2012.csv,Dia: 05/04/2012,
receitas_abril_2012.csv,Descrição da Receita,Realizado
receitas_abril_2012.csv,CONVÊNIO PMC, 0.00
receitas_abril_2012.csv,ESTACIONAMENTO ROTATIVO, 4738.50
receitas_abril_2012.csv,MULTAS DE TRÂNSITO, 142527.54
receitas_abril_2012.csv,MULTAS DE TRANSPORTES, 5182.71
receitas_abril_2012.csv,OUTRAS RECEITAS, 17.37
receitas_abril_2012.csv,PÁTIO DE VEÍCULOS, 8849.24
receitas_abril_2012.csv,RECEITAS FINANCEIRAS, 10.18
receitas_abril_2012.csv,TAXA DE GERENCIAMENTO INTERCAMP, 25983.93
receitas_abril_2012.csv,TAXA DE TAXI, 657.71
receitas_abril_2012.csv,VISTORIA DE VEÍCULOS, 330.27
receitas_abril_2012.csv,Dia: 06/04/2012,
receitas_abril_2012.csv,Descrição da Receita,Realizado
receitas_abril_2012.csv,CONVÊNIO PMC, 0.00
receitas_abril_2012.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2012.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2012.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2012.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2012.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2012.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2012.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2012.csv,TAXA DE TAXI, 0.00
receitas_abril_2012.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2012.csv,Dia: 07/04/2012,
receitas_abril_2012.csv,Descrição da Receita,Realizado
receitas_abril_2012.csv,CONVÊNIO PMC, 0.00
receitas_abril_2012.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2012.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2012.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2012.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2012.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2012.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2012.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2012.csv,TAXA DE TAXI, 0.00
receitas_abril_2012.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2012.csv,Dia: 08/04/2012,
receitas_abril_2012.csv,Descrição da Receita,Realizado
receitas_abril_2012.csv,CONVÊNIO PMC, 0.00
receitas_abril_2012.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2012.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2012.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2012.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2012.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2012.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2012.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2012.csv,TAXA DE TAXI, 0.00
receitas_abril_2012.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2012.csv,Dia: 09/04/2012,
receitas_abril_2012.csv,Descrição da Receita,Realizado
receitas_abril_2012.csv,CONVÊNIO PMC, 0.00
receitas_abril_2012.csv,ESTACIONAMENTO ROTATIVO, 13329.20
receitas_abril_2012.csv,MULTAS DE TRÂNSITO, 2043.07
receitas_abril_2012.csv,MULTAS DE TRANSPORTES, 6034.33
receitas_abril_2012.csv,OUTRAS RECEITAS, 299.87
receitas_abril_2012.csv,PÁTIO DE VEÍCULOS, 7661.36
receitas_abril_2012.csv,RECEITAS FINANCEIRAS, 30.74
receitas_abril_2012.csv,TAXA DE GERENCIAMENTO INTERCAMP, 50239.98
