Arquivo,Receita,Valor
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2017.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2017.csv,TAXA DE TAXI, 0.00
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2017.csv,Dia: 02/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2017.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2017.csv,TAXA DE TAXI, 0.00
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2017.csv,Dia: 03/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 17572.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 174330.77
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 2676.44
receitas_abril_2017.csv,OUTRAS RECEITAS, 45743.45
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 19585.18
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 47.97
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 31344.89
receitas_abril_2017.csv,TAXA DE TAXI, 4515.08
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 456.29
receitas_abril_2017.csv,Dia: 04/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 18612.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 188503.47
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 11146.89
receitas_abril_2017.csv,OUTRAS RECEITAS, 13231.66
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 37277.78
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 27.64
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 31265.71
receitas_abril_2017.csv,TAXA DE TAXI, 2373.91
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 2527.60
receitas_abril_2017.csv,Dia: 05/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 10260.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 207342.21
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 2984.16
receitas_abril_2017.csv,OUTRAS RECEITAS, 3350.35
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 39285.47
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 0.11
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 31555.38
receitas_abril_2017.csv,TAXA DE TAXI, 1395.35
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 1112.58
receitas_abril_2017.csv,Dia: 06/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 8460.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 206169.61
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 402502.37
receitas_abril_2017.csv,OUTRAS RECEITAS, 22920.95
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 5530.88
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 31626.47
receitas_abril_2017.csv,TAXA DE TAXI, 1924.82
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 519.97
receitas_abril_2017.csv,Dia: 07/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 5587.92
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 248572.35
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 4466.47
receitas_abril_2017.csv,OUTRAS RECEITAS, 94168.45
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 20325.24
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 27.32
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 58702.29
receitas_abril_2017.csv,TAXA DE TAXI, 2390.81
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 701.11
receitas_abril_2017.csv,Dia: 08/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2017.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2017.csv,TAXA DE TAXI, 0.00
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2017.csv,Dia: 09/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2017.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2017.csv,TAXA DE TAXI, 0.00
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2017.csv,Dia: 10/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 5232.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 271960.29
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 8928.18
receitas_abril_2017.csv,OUTRAS RECEITAS, 257.54
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 43205.48
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 31722.22
receitas_abril_2017.csv,TAXA DE TAXI, 1162.08
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 472.67
receitas_abril_2017.csv,Dia: 11/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 18660.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 376439.24
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 3192.92
receitas_abril_2017.csv,OUTRAS RECEITAS, 340.75
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 27782.04
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 18.55
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 32183.84
receitas_abril_2017.csv,TAXA DE TAXI, 1461.61
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 539.73
receitas_abril_2017.csv,Dia: 12/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 8220.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 304756.25
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 3728.59
receitas_abril_2017.csv,OUTRAS RECEITAS, 206.46
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 31607.49
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 98.80
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 32371.44
receitas_abril_2017.csv,TAXA DE TAXI, 2027.85
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 998.98
receitas_abril_2017.csv,Dia: 13/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 6257.46
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 219028.54
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 3426.26
receitas_abril_2017.csv,OUTRAS RECEITAS, 177.39
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 23223.84
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 31383.62
receitas_abril_2017.csv,TAXA DE TAXI, 2141.20
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 1107.26
receitas_abril_2017.csv,Dia: 14/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2017.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2017.csv,TAXA DE TAXI, 0.00
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2017.csv,Dia: 15/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2017.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2017.csv,TAXA DE TAXI, 0.00
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2017.csv,Dia: 16/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2017.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2017.csv,TAXA DE TAXI, 0.00
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2017.csv,Dia: 17/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 1500000.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 13152.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 230643.54
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 6115.36
receitas_abril_2017.csv,OUTRAS RECEITAS, 192.59
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 466183.40
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 18.33
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 63250.54
receitas_abril_2017.csv,TAXA DE TAXI, 1218.69
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 726.55
receitas_abril_2017.csv,Dia: 18/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 31320.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 319471.78
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2017.csv,OUTRAS RECEITAS, 31795.82
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 13942.90
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 1662.38
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2017.csv,TAXA DE TAXI, 456.17
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 325.32
receitas_abril_2017.csv,Dia: 19/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 2220.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 367260.21
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 6176.84
receitas_abril_2017.csv,OUTRAS RECEITAS, 354.76
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 45507.18
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 68488.62
receitas_abril_2017.csv,TAXA DE TAXI, 2826.71
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 706.40
receitas_abril_2017.csv,Dia: 20/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 13000.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 326558.52
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 16181.72
receitas_abril_2017.csv,OUTRAS RECEITAS, 242.03
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 27970.60
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 33219.12
receitas_abril_2017.csv,TAXA DE TAXI, 772.50
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 360.17
receitas_abril_2017.csv,Dia: 21/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2017.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2017.csv,TAXA DE TAXI, 0.00
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2017.csv,Dia: 22/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2017.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2017.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2017.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2017.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2017.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2017.csv,TAXA DE TAXI, 0.00
receitas_abril_2017.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2017.csv,Dia: 23/04/2017,
receitas_abril_2017.csv,Descrição da Receita,Realizado
receitas_abril_2017.csv,CONVÊNIO PMC, 0.00
receitas_abril_2017.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2017.csv,MULTAS DE TRÂNSITO, 0.00
