Arquivo,Receita,Valor
receitas_abril_2013.csv,Descrição da Receita,Realizado
receitas_abril_2013.csv,CONVÊNIO PMC, 0.00
receitas_abril_2013.csv,ESTACIONAMENTO ROTATIVO, 3037.50
receitas_abril_2013.csv,MULTAS DE TRÂNSITO, 32275.11
receitas_abril_2013.csv,MULTAS DE TRANSPORTES, 1684.52
receitas_abril_2013.csv,OUTRAS RECEITAS, 66743.28
receitas_abril_2013.csv,PÁTIO DE VEÍCULOS, 3699.22
receitas_abril_2013.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2013.csv,TAXA DE GERENCIAMENTO INTERCAMP, 54857.56
receitas_abril_2013.csv,TAXA DE TAXI, 1630.13
receitas_abril_2013.csv,VISTORIA DE VEÍCULOS, 5213.45
receitas_abril_2013.csv,Dia: 02/04/2013,
receitas_abril_2013.csv,Descrição da Receita,Realizado
receitas_abril_2013.csv,CONVÊNIO PMC, 0.00
receitas_abril_2013.csv,ESTACIONAMENTO ROTATIVO, 13365.00
receitas_abril_2013.csv,MULTAS DE TRÂNSITO, 59615.47
receitas_abril_2013.csv,MULTAS DE TRANSPORTES, 859.68
receitas_abril_2013.csv,OUTRAS RECEITAS, 571.99
receitas_abril_2013.csv,PÁTIO DE VEÍCULOS, 15434.64
receitas_abril_2013.csv,RECEITAS FINANCEIRAS, 32.72
receitas_abril_2013.csv,TAXA DE GERENCIAMENTO INTERCAMP, 28889.40
receitas_abril_2013.csv,TAXA DE TAXI, 766.54
receitas_abril_2013.csv,VISTORIA DE VEÍCULOS, 1936.68
receitas_abril_2013.csv,Dia: 03/04/2013,
receitas_abril_2013.csv,Descrição da Receita,Realizado
receitas_abril_2013.csv,CONVÊNIO PMC, 0.00
receitas_abril_2013.csv,ESTACIONAMENTO ROTATIVO, 5346.00
receitas_abril_2013.csv,MULTAS DE TRÂNSITO, 68826.91
receitas_abril_2013.csv,MULTAS DE TRANSPORTES, 1711.44
receitas_abril_2013.csv,OUTRAS RECEITAS, 162.48
receitas_abril_2013.csv,PÁTIO DE VEÍCULOS, 6950.91
receitas_abril_2013.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2013.csv,TAXA DE GERENCIAMENTO INTERCAMP, 28535.67
receitas_abril_2013.csv,TAXA DE TAXI, 1886.48
receitas_abril_2013.csv,VISTORIA DE VEÍCULOS, 1601.53
receitas_abril_2013.csv,Dia: 04/04/2013,
receitas_abril_2013.csv,Descrição da Receita,Realizado
receitas_abril_2013.csv,CONVÊNIO PMC, 0.00
receitas_abril_2013.csv,ESTACIONAMENTO ROTATIVO, 8140.50
receitas_abril_2013.csv,MULTAS DE TRÂNSITO, 58118.86
receitas_abril_2013.csv,MULTAS DE TRANSPORTES, 892.15
receitas_abril_2013.csv,OUTRAS RECEITAS, 65.46
receitas_abril_2013.csv,PÁTIO DE VEÍCULOS, 14949.88
receitas_abril_2013.csv,RECEITAS FINANCEIRAS, 24.12
receitas_abril_2013.csv,TAXA DE GERENCIAMENTO INTERCAMP, 29227.14
receitas_abril_2013.csv,TAXA DE TAXI, 873.55
receitas_abril_2013.csv,VISTORIA DE VEÍCULOS, 1219.83
receitas_abril_2013.csv,Dia: 05/04/2013,
receitas_abril_2013.csv,Descrição da Receita,Realizado
receitas_abril_2013.csv,CONVÊNIO PMC, 0.00
receitas_abril_2013.csv,ESTACIONAMENTO ROTATIVO, 5832.00
receitas_abril_2013.csv,MULTAS DE TRÂNSITO, 58103.65
receitas_abril_2013.csv,MULTAS DE TRANSPORTES, 1963.72
receitas_abril_2013.csv,OUTRAS RECEITAS, 287.02
receitas_abril_2013.csv,PÁTIO DE VEÍCULOS, 10903.24
receitas_abril_2013.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2013.csv,TAXA DE GERENCIAMENTO INTERCAMP, 59671.72
receitas_abril_2013.csv,TAXA DE TAXI, 1647.54
receitas_abril_2013.csv,VISTORIA DE VEÍCULOS, 2873.89
receitas_abril_2013.csv,Dia: 06/04/2013,
receitas_abril_2013.csv,Descrição da Receita,Realizado
receitas_abril_2013.csv,CONVÊNIO PMC, 0.00
receitas_abril_2013.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2013.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2013.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2013.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2013.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2013.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2013.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2013.csv,TAXA DE TAXI, 0.00
receitas_abril_2013.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2013.csv,Dia: 07/04/2013,
receitas_abril_2013.csv,Descrição da Receita,Realizado
receitas_abril_2013.csv,CONVÊNIO PMC, 0.00
receitas_abril_2013.csv,ESTACIONAMENTO ROTATIVO, 0.00
receitas_abril_2013.csv,MULTAS DE TRÂNSITO, 0.00
receitas_abril_2013.csv,MULTAS DE TRANSPORTES, 0.00
receitas_abril_2013.csv,OUTRAS RECEITAS, 0.00
receitas_abril_2013.csv,PÁTIO DE VEÍCULOS, 0.00
receitas_abril_2013.csv,RECEITAS FINANCEIRAS, 0.00
receitas_abril_2013.csv,TAXA DE GERENCIAMENTO INTERCAMP, 0.00
receitas_abril_2013.csv,TAXA DE TAXI, 0.00
receitas_abril_2013.csv,VISTORIA DE VEÍCULOS, 0.00
receitas_abril_2013.csv,Dia: 08/04/2013,
receitas_abril_2013.csv,Descrição da Receita,Realizado
receitas_abril_2013.csv,CONVÊNIO PMC, 0.00
receitas_abril_2013.csv,ESTACIONAMENTO ROTATIVO, 1579.50
receitas_abril_2013.csv,MULTAS DE TRÂNSITO, 83886.95
receitas_abril_2013.csv,MULTAS DE TRANSPORTES, 858.73
receitas_abril_2013.csv,OUTRAS RECEITAS, 821.79
receitas_abril_2013.csv,PÁTIO DE VEÍCULOS, 19368.84
receitas_abril_2013.csv,RECEITAS FINANCEIRAS, 42.61
